"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Physical.Processor","Clock.Speed","Memory","Storage","Network.Performance","Processor.Architecture","Storage.Media","Volume.Type","Min.Volume.Size","Max.Volume.Size","Engine.Code","Database.Engine","Database.Edition","License.Model","Deployment.Option","Group","Group.Description","Transfer.Type","From.Location","From.Location.Type","To.Location","To.Location.Type","usageType","operation","Dedicated.EBS.Throughput","Enhanced.Networking.Supported","Processor.Features","Region","Endpoint","Protocol"
"158","Asia Pacific (Singapore)","A829JF24WC842U7R","HU7G6KETJZ","A829JF24WC842U7R.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m4.2xlarge instance-hours used this month","2015-10-31",0,Inf,"hrs",0.426,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.2xlarge","Yes","General purpose",8,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m4.2xlarge","CreateDBInstance:0014","1000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"159","Asia Pacific (Singapore)","EJCVQTA8PG3SKYAG","HU7G6KETJZ","EJCVQTA8PG3SKYAG.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",1079,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m1.xlarge","No","General purpose",4,"Intel Xeon Family","","15 GiB","4 x 420","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m1.xlarge","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"160","Asia Pacific (Singapore)","4XTJ7SWYV5B8FZBX","HU7G6KETJZ","4XTJ7SWYV5B8FZBX.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m2.2xlarge instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.466,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m2.2xlarge","No","Memory optimized",4,"Intel Xeon Family","","34.2 GiB","1 x 850","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m2.2xlarge","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"161","Asia Pacific (Singapore)","HRDCCBK3CYZZ6QTE","HU7G6KETJZ","HRDCCBK3CYZZ6QTE.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",3108,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.xlarge","Yes","Memory optimized",4,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.r3.xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"162","Asia Pacific (Singapore)","TE72NQD5VW5EF983","HU7G6KETJZ","TE72NQD5VW5EF983.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",982,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.large","Yes","General purpose",2,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS Only","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m4.large","CreateDBInstance:0014","450 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"163","Asia Pacific (Singapore)","NAM7A9HRDXF5NKRP","HU7G6KETJZ","NAM7A9HRDXF5NKRP.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",19622,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.10xlarge","Yes","General purpose",40,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS Only","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m4.10xl","CreateDBInstance:0014","4000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"164","Asia Pacific (Singapore)","WYU97Q8NNE9J6DTT","HU7G6KETJZ","WYU97Q8NNE9J6DTT.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",3108,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.r3.2xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"165","Asia Pacific (Singapore)","B8GVTWX6VU7M5ADM","HU7G6KETJZ","B8GVTWX6VU7M5ADM.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",62,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t1.micro","No","Micro instances",1,"Variable","","0.613 GiB","EBS Only","Very Low","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.t1.micro","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"166","Asia Pacific (Singapore)","NUDYFVPTXR9C7YPG","HU7G6KETJZ","NUDYFVPTXR9C7YPG.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",491,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.large","Yes","General purpose",2,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS Only","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m4.large","CreateDBInstance:0014","450 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"167","Asia Pacific (Singapore)","WYU97Q8NNE9J6DTT","HU7G6KETJZ","WYU97Q8NNE9J6DTT.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.2xlarge instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.425,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.r3.2xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"168","Asia Pacific (Singapore)","6EFK598M2SHJAR8D","HU7G6KETJZ","6EFK598M2SHJAR8D.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-07-31",NA,NA,"Quantity",135,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m1.small","No","General purpose",1,"Intel Xeon Family","","1.7 GiB","1 x 160","Low","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m1.small","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"169","Asia Pacific (Singapore)","KSW63QG9NPP6PVD3","HU7G6KETJZ","KSW63QG9NPP6PVD3.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",777,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.large","Yes","Memory optimized",2,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","15.25 GiB","1 x 32 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.r3.large","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"170","Asia Pacific (Singapore)","VPSKAK6Q54VR99MY","HU7G6KETJZ","VPSKAK6Q54VR99MY.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.medium instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.048,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.medium","Yes","General purpose",2,"Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.t2.medium","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"171","Asia Pacific (Singapore)","79U2SW24XN5FC4BQ","HU7G6KETJZ","79U2SW24XN5FC4BQ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",981,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.xlarge","Yes","General purpose",4,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","16 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m4.xlarge","CreateDBInstance:0014","750 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"172","Asia Pacific (Singapore)","79U2SW24XN5FC4BQ","HU7G6KETJZ","79U2SW24XN5FC4BQ.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m4.xlarge instance-hours used this month","2015-10-31",0,Inf,"hrs",0.213,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.xlarge","Yes","General purpose",4,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","16 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m4.xlarge","CreateDBInstance:0014","750 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"173","Asia Pacific (Singapore)","CCZQ6CEHUHJSGP9T","HU7G6KETJZ","CCZQ6CEHUHJSGP9T.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",158,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.small","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","2 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.t2.small","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"174","Asia Pacific (Singapore)","4XTJ7SWYV5B8FZBX","HU7G6KETJZ","4XTJ7SWYV5B8FZBX.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",1970,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m2.2xlarge","No","Memory optimized",4,"Intel Xeon Family","","34.2 GiB","1 x 850","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m2.2xlarge","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"175","Asia Pacific (Singapore)","FGEUXQU9V6YGQW5Y","HU7G6KETJZ","FGEUXQU9V6YGQW5Y.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-06-30",NA,NA,"Quantity",316,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.small","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","2 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.t2.small","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"176","Asia Pacific (Singapore)","CCZQ6CEHUHJSGP9T","HU7G6KETJZ","CCZQ6CEHUHJSGP9T.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.small instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.024,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.small","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","2 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.t2.small","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"177","Asia Pacific (Singapore)","QHSGXYNFNEYTKR2D","HU7G6KETJZ","QHSGXYNFNEYTKR2D.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m3.medium instance-hours used this month","2015-08-31",0,Inf,"Hrs",0.096,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m3.medium","Yes","General purpose",1,"Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","3.75 GiB","1 x 4 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m3.medium","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"178","Asia Pacific (Singapore)","ENSS4PXFEBRYMRGU","HU7G6KETJZ","ENSS4PXFEBRYMRGU.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",124,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t1.micro","No","Micro instances",1,"Variable","","0.613 GiB","EBS Only","Very Low","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.t1.micro","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"179","Asia Pacific (Singapore)","T93P6XGZD4T7DK3Q","HU7G6KETJZ","T93P6XGZD4T7DK3Q.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",158,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.micro","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","1 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.t2.micro","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"180","Asia Pacific (Singapore)","A829JF24WC842U7R","HU7G6KETJZ","A829JF24WC842U7R.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",1962,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.2xlarge","Yes","General purpose",8,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m4.2xlarge","CreateDBInstance:0014","1000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"181","Asia Pacific (Singapore)","BJFCY7GB9W6RJEYR","HU7G6KETJZ","BJFCY7GB9W6RJEYR.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m3.2xlarge instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.762,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m3.2xlarge","Yes","General purpose",8,"Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","30 GiB","2 x 80 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m3.2xlarge","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"182","Asia Pacific (Singapore)","2XR2NUBEST7R98NP","HU7G6KETJZ","2XR2NUBEST7R98NP.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",3924,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.4xlarge","Yes","General purpose",16,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","64 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m4.4xlarge","CreateDBInstance:0014","2000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"183","Asia Pacific (Singapore)","BPH25UHU48RUYN86","HU7G6KETJZ","BPH25UHU48RUYN86.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m4.xlarge instance-hours used this month","2015-10-31",0,Inf,"hrs",0.426,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.xlarge","Yes","General purpose",4,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","16 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m4.xlarge","CreateDBInstance:0014","750 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"184","Asia Pacific (Singapore)","YZTGKJQ7MK6SMDN7","HU7G6KETJZ","YZTGKJQ7MK6SMDN7.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",6216,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.4xlarge","Yes","Memory optimized",16,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","1 x 320 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.r3.4xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"185","Asia Pacific (Singapore)","EJJAX2PYNURQRTMM","HU7G6KETJZ","EJJAX2PYNURQRTMM.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m3.xlarge instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.191,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m3.xlarge","Yes","General purpose",4,"Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","15 GiB","2 x 40 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m3.xlarge","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"186","Asia Pacific (Singapore)","77XHFQW9RY5KBBH4","HU7G6KETJZ","77XHFQW9RY5KBBH4.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.large instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.192,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.large","Yes","General purpose",2,"Intel Xeon Family","Up to 3.0 GHz","8 GiB","EBS Only","Low to Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.t2.large","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"187","Asia Pacific (Singapore)","2U2A2ND3SQXA4S2T","HU7G6KETJZ","2U2A2ND3SQXA4S2T.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.8xlarge instance-hours used this month","2015-09-30",0,Inf,"Hrs",1.69,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.r3.8xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"188","Asia Pacific (Singapore)","932M3JKA2H44HQPQ","HU7G6KETJZ","932M3JKA2H44HQPQ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",6216,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.r3.2xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"189","Asia Pacific (Singapore)","VYM3HREFRRP6RK85","HU7G6KETJZ","VYM3HREFRRP6RK85.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m3.medium instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.048,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m3.medium","Yes","General purpose",1,"Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","3.75 GiB","1 x 4 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS1-InstanceUsage:db.m3.medium","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"190","Asia Pacific (Singapore)","KBEZU3KM3KJW8WUR","HU7G6KETJZ","KBEZU3KM3KJW8WUR.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",3940,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m2.4xlarge","No","Memory optimized",8,"Intel Xeon Family","","68.4 GiB","2 x 840","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m2.4xlarge","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"191","Asia Pacific (Singapore)","PMS4XNKGH4UK6C6E","HU7G6KETJZ","PMS4XNKGH4UK6C6E.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",24864,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.r3.8xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"192","Asia Pacific (Singapore)","SQZCYBT4PFNHASU7","HU7G6KETJZ","SQZCYBT4PFNHASU7.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-09-30",NA,NA,"Quantity",632,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.medium","Yes","General purpose",2,"Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.t2.medium","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"193","Asia Pacific (Singapore)","6UU7RB6RVEN69MPX","HU7G6KETJZ","6UU7RB6RVEN69MPX.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m2.xlarge instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.232,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m2.xlarge","No","Memory optimized",2,"Intel Xeon Family","","17.1 GiB","1 x 420","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.m2.xlarge","CreateDBInstance:0014","","","","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
"194","Asia Pacific (Singapore)","T93P6XGZD4T7DK3Q","HU7G6KETJZ","T93P6XGZD4T7DK3Q.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.micro instance-hours used this month","2015-09-30",0,Inf,"Hrs",0.024,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.micro","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","1 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS1-Multi-AZUsage:db.t2.micro","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-southeast-1","ec2.ap-southeast-1.amazonaws.com","HTTP and HTTPS"
